date,spo2_avg,spo2_min,spo2_max,count
2025-01-23,0.9666666666666667,0.94,0.98,3
2025-01-24,0.9755999999999999,0.95,0.99,25
2025-01-25,0.9642857142857144,0.93,0.99,14
2025-01-26,0.9565217391304346,0.9,0.99,23
2025-01-27,0.9584615384615388,0.91,0.98,26
2025-01-28,0.9546153846153845,0.91,0.98,26
2025-01-29,0.9526315789473685,0.91,1.0,19
2025-01-30,0.9499999999999998,0.87,0.99,18
2025-01-31,0.9644444444444443,0.93,1.0,27
2025-02-01,0.9659090909090909,0.94,1.0,22
2025-02-02,0.9385714285714286,0.81,0.99,21
2025-02-03,0.9584210526315788,0.91,0.99,19
2025-02-04,0.9466666666666668,0.87,0.99,21
2025-02-05,0.9566666666666664,0.9,1.0,21
2025-02-06,0.9643333333333332,0.88,0.99,30
2025-02-07,0.9553846153846154,0.9,1.0,26
2025-02-08,0.9626086956521739,0.9,1.0,23
2025-02-09,0.966,0.89,1.0,15
2025-02-10,0.9690909090909089,0.94,1.0,22
2025-02-11,0.9768421052631581,0.94,1.0,19
2025-02-12,0.9725,0.91,1.0,16
2025-02-13,0.9640740740740741,0.89,1.0,27
2025-02-14,0.9743750000000002,0.93,1.0,16
2025-02-15,0.9499999999999998,0.89,0.99,18
2025-02-16,0.9583333333333334,0.89,1.0,24
2025-02-17,0.9667999999999998,0.92,0.99,25
2025-02-18,0.9709090909090907,0.93,1.0,22
2025-02-19,0.9663157894736844,0.93,1.0,19
2025-02-20,0.9625,0.92,0.99,20
2025-02-21,0.975294117647059,0.94,1.0,17
2025-02-22,0.9500000000000001,0.91,0.99,14
2025-02-23,0.97,0.9,1.0,20
2025-02-24,0.973846153846154,0.92,1.0,26
2025-02-25,0.966,0.92,1.0,15
2025-02-26,0.9657894736842106,0.92,0.99,19
2025-02-27,0.9765000000000003,0.93,1.0,20
2025-02-28,0.9742857142857143,0.91,1.0,21
2025-03-01,0.9712500000000003,0.94,1.0,24
2025-03-02,0.957333333333333,0.94,0.98,15
2025-03-03,0.9620000000000001,0.93,0.98,20
