date,walking_speed_avg,walking_speed_min,walking_speed_max,count
2023-12-26,4.263,2.592,5.508,24
2023-12-27,4.2396164383561645,2.772,5.688,73
2023-12-28,4.30425,2.988,5.364,64
2023-12-29,3.8339999999999996,2.628,5.796,50
2023-12-30,4.058526315789473,2.7,5.688,95
2023-12-31,3.8556818181818184,2.412,5.796,88
2024-01-01,3.9443168316831683,2.556,5.868,101
2024-01-02,4.0994117647058825,2.772,6.84,102
2024-01-03,3.9655384615384617,2.844,5.436,52
2024-01-04,3.8245714285714287,2.124,5.472,63
2024-01-05,3.695478260869565,2.232,5.544,46
2024-01-06,4.2216,2.844,7.092,60
2024-01-07,4.067526315789474,2.232,6.516,76
2024-01-08,4.089056603773585,2.556,5.868,53
2024-01-09,3.844,2.376,5.976,99
2024-01-10,3.819857142857143,2.448,7.164,84
2024-01-11,3.98,2.124,5.472,45
2024-01-12,4.219448275862069,2.592,5.544,29
2024-01-13,4.3794,2.808,6.084,60
2024-01-14,4.298,2.988,6.228,54
2024-01-15,4.397538461538462,2.916,6.804,78
2024-01-16,4.3486875,2.124,6.3,64
2024-01-17,4.47931914893617,2.484,6.336,47
2024-01-18,4.349142857142857,2.664,5.976,42
2024-01-19,4.36572972972973,2.736,5.436,37
2024-01-20,4.44,2.628,6.66,72
2024-01-21,4.707692307692308,3.132,7.704,39
2024-01-22,4.7344,3.132,6.156,45
2024-01-23,4.176,2.772,6.012,43
2024-01-24,4.4852727272727275,2.628,6.372,44
2024-01-25,4.517454545454545,2.7,5.904,33
2024-01-26,4.551428571428572,3.024,6.156,63
2024-01-27,4.441090909090909,2.484,6.264,55
2024-01-28,4.251176470588235,2.736,5.796,68
2024-01-29,4.1290000000000004,2.412,6.3,72
2024-01-30,4.148526315789474,2.376,6.624,38
2024-01-31,4.691020408163266,3.132,5.796,49
2024-02-01,4.2912,2.376,5.328,20
2024-02-02,3.7408888888888887,1.908,5.868,81
2024-02-03,4.437,3.096,5.544,8
2024-02-07,4.5,4.14,4.716,5
2024-02-08,3.7960851063829786,2.196,6.3,47
2024-02-09,4.788,3.24,6.012,11
2024-02-10,4.125333333333334,2.16,5.508,54
2024-02-11,3.7728,2.988,4.212,5
2024-02-13,4.27536,3.132,5.58,25
2024-02-15,4.4379,2.556,6.12,40
2024-02-17,4.38,2.916,6.336,15
2024-02-18,3.7775000000000003,2.412,6.12,72
2024-02-19,4.457571428571429,2.772,5.796,28
2024-02-20,2.9699999999999998,2.88,3.06,2
2024-02-21,4.764959999999999,3.348,6.084,25
2024-02-22,4.1175,3.348,4.572,8
2024-02-23,4.570520547945206,2.844,6.192,73
2024-02-24,4.281750000000001,2.16,5.688,80
2024-02-25,4.245677419354839,2.808,5.724,62
2024-02-26,4.328666666666667,2.808,6.336,54
2024-02-27,4.287214285714286,2.916,5.724,56
2024-02-28,4.5155076923076924,2.52,6.192,65
2024-02-29,4.220861538461539,2.88,5.94,65
2024-03-01,4.312551724137931,2.664,5.94,87
2024-03-02,4.425545454545454,2.88,6.48,44
2024-03-03,4.302885245901639,2.448,5.58,61
2024-03-04,4.40186301369863,2.664,6.192,73
2024-03-05,4.579471698113207,2.268,6.048,53
2024-03-06,4.624851063829787,3.096,6.696,47
2024-03-07,4.158,2.844,5.688,54
2024-03-08,3.8462400000000003,2.556,5.94,50
2024-03-09,4.312551724137931,2.556,5.976,58
2024-03-10,4.3834285714285715,3.24,5.796,42
2024-03-11,4.4634285714285715,2.988,6.012,63
2024-03-12,4.565571428571428,2.7,5.832,56
2024-03-13,4.236,2.7,5.544,63
2024-03-14,4.214526315789474,2.484,6.012,57
2024-03-15,4.266382978723405,2.772,5.328,47
2024-03-16,4.462941176470588,3.348,6.228,34
2024-03-17,4.057384615384615,2.592,5.256,78
2024-03-18,4.02912,2.7,5.22,50
2024-03-19,3.9505,2.592,5.112,72
2024-03-20,4.431103448275862,2.448,5.904,58
2024-03-21,4.269677419354839,2.376,5.832,93
2024-03-22,4.163186440677966,2.304,6.48,59
2024-03-23,4.086382978723404,3.132,5.328,47
2024-03-24,4.092,2.34,5.58,48
2024-03-25,4.0841379310344825,2.88,5.472,58
2024-03-26,4.2704,2.844,7.848,45
2024-03-27,4.448506329113925,2.952,6.048,79
2024-03-28,4.409333333333333,2.592,5.724,54
2024-03-29,4.226999999999999,2.808,5.76,48
2024-03-30,3.99375,2.556,5.364,16
2024-03-31,4.51152,2.628,6.3,25
2024-04-01,4.495118644067796,1.836,6.12,59
2024-04-02,4.587000000000001,2.448,6.084,60
2024-04-03,4.333745454545454,3.312,5.724,55
2024-04-04,3.7752,2.232,5.328,15
2024-04-05,4.401442622950819,3.132,5.544,61
2024-04-06,4.235294117647059,1.908,5.58,34
2024-04-07,4.3480799999999995,1.908,5.796,50
2024-04-08,3.9705882352941178,2.556,5.364,51
2024-04-09,4.419130434782609,2.124,6.84,69
2024-04-10,4.2778983050847454,3.096,5.76,59
2024-04-11,4.257818181818182,2.124,5.868,55
2024-04-12,4.326631578947368,2.484,5.688,38
2024-04-13,3.7967999999999997,2.088,6.264,15
2024-04-14,4.075200000000001,2.736,5.724,45
2024-04-15,4.0545,1.512,6.048,48
2024-04-16,4.192682926829268,1.584,5.868,41
2024-04-17,4.275771428571428,1.908,5.688,35
2024-04-18,4.484571428571429,2.556,6.228,42
2024-04-19,4.137545454545454,2.628,5.832,44
2024-04-20,4.07925,2.088,5.508,16
2024-04-21,4.4070967741935485,3.06,5.94,31
2024-04-22,4.156758620689655,2.016,5.508,58
2024-04-23,4.239138461538461,2.124,5.976,65
2024-04-24,4.296214285714286,3.024,5.76,56
2024-04-25,4.5128571428571425,2.196,6.624,42
2024-04-26,4.5,1.908,6.444,45
2024-04-27,4.7472,3.456,6.444,15
2024-04-28,4.6872,2.628,7.02,35
2024-04-29,4.591741935483871,3.708,5.94,31
2024-04-30,4.362,2.268,6.192,42
2024-05-01,4.0995,2.016,6.588,80
2024-05-02,4.451016393442623,2.772,6.876,61
2024-05-03,4.069384615384615,2.232,5.652,78
2024-05-04,4.8849230769230765,3.168,6.084,13
2024-05-05,4.289217391304348,2.52,6.552,69
2024-05-06,4.410620689655173,1.944,6.696,58
2024-05-07,4.36889552238806,2.52,5.832,67
2024-05-08,4.49463829787234,3.276,5.94,47
2024-05-09,4.499217391304348,2.412,6.084,46
2024-05-10,4.5521379310344825,2.556,6.408,29
2024-05-11,4.351909090909091,2.448,6.3,44
2024-05-12,4.395056603773584,1.908,6.48,106
2024-05-13,4.734461538461539,2.052,6.156,39
2024-05-14,4.434612244897959,2.304,5.976,49
2024-05-15,4.250918918918918,1.512,6.084,37
2024-05-16,4.270090909090909,1.944,5.616,44
2024-05-17,4.4888,3.384,6.3,45
2024-05-18,3.9560338983050847,2.664,5.328,118
2024-05-19,4.44528,2.7,5.58,25
2024-05-20,3.4776000000000002,2.736,3.924,5
2024-05-21,4.551428571428571,2.412,5.76,49
2024-05-22,4.184,3.168,6.012,54
2024-05-23,4.598756756756757,1.8,6.012,74
2024-05-24,4.284529411764706,2.628,6.552,136
2024-05-25,4.213180327868852,2.844,5.796,61
2024-05-26,4.029096774193548,2.268,5.22,62
2024-05-27,4.201156626506024,2.592,5.688,83
2024-05-28,4.281391304347826,2.34,6.552,69
2024-05-29,4.393321100917431,2.376,5.832,109
2024-05-30,4.453363636363637,2.376,6.48,44
2024-05-31,3.991021276595745,2.592,5.472,94
2024-06-01,4.336758620689656,2.988,6.048,58
2024-06-02,3.999970588235294,1.944,6.876,136
2024-06-03,4.015095652173913,2.376,6.336,115
2024-06-04,4.0115675675675675,2.736,6.336,74
2024-06-05,3.9541846153846154,2.304,6.264,130
2024-06-06,4.1425511811023625,1.584,6.084,127
2024-06-07,3.532235294117647,2.304,5.256,34
2024-06-08,3.7265684210526318,1.62,6.228,95
2024-06-09,4.035945205479452,3.168,5.436,73
2024-06-10,3.8885625,2.196,5.976,64
2024-06-11,4.3610232558139534,2.7,5.544,43
2024-06-12,4.33512,2.484,6.084,50
2024-06-13,4.4531052631578945,2.88,6.084,76
2024-06-14,4.368375,3.708,5.112,32
2024-06-15,3.910285714285714,2.196,5.616,84
2024-06-16,4.314461538461538,2.556,5.508,26
2024-06-17,3.90225,2.34,6.048,48
2024-06-18,3.8353170731707316,2.772,5.616,41
2024-06-19,4.04,2.412,5.904,45
2024-06-20,4.20225,3.06,5.76,48
2024-06-21,4.112470588235294,2.592,6.66,51
2024-06-22,3.924,3.348,5.58,11
2024-06-23,3.7289302325581395,2.736,4.86,43
2024-06-24,4.023,2.7,6.12,44
2024-06-25,4.0750714285714285,2.664,5.76,56
2024-06-26,4.241853658536585,2.7,5.688,41
