category,author,rank,publish_date,title,url
超优质,小Lin说,1,12-11,一口气了解赌球,https://www.bilibili.com/video/BV1NQmTBmEj5/
超优质,小Lin说,2,11-14,GDP是会骗人的 | 一口气了解GDP,https://www.bilibili.com/video/BV1EjCgBeEn5/
超优质,小Lin说,3,10-25,那些被制裁最最严重的国家，都怎么样了?,https://www.bilibili.com/video/BV1qVsRzbEQ2/
超优质,小Lin说,4,10-15,"全球乱跑的""最贵""视频，看我发现了什么…？",https://www.bilibili.com/video/BV1wK4vznEW3/
超优质,小Lin说,5,10-12,美元暴跌的背后...,https://www.bilibili.com/video/BV14U4uzRE1X/
超优质,小Lin说,6,09-16,一口气了解伊朗经济,https://www.bilibili.com/video/BV1MEp1z7EAx/
超优质,小Lin说,7,08-29,"中国经济2025 (小结, 简单聊聊)",https://www.bilibili.com/video/BV1A3hRzpEY5/
超优质,小Lin说,8,08-19,期货，为什么总是拉爆债市、股市、油价？ 资本世界的多空大战有多凶残...,https://www.bilibili.com/video/BV12YeczEE6x/
超优质,小Lin说,9,08-11,机器人，真的要来了么...？,https://www.bilibili.com/video/BV1AcbVzwEEc/
超优质,小Lin说,10,07-31,"什么是""金融赌场""，它背后有什么秘密？",https://www.bilibili.com/video/BV1ZG8kzuEnD/
超优质,小Lin竖着说,1,12-03,退休之后，到底能领多少养老金？,https://www.bilibili.com/video/BV1P3SkBSEVJ/
超优质,小Lin竖着说,2,12-01,香港大火背后：高层住宅困局怎么解？,https://www.bilibili.com/video/BV1gnSCBaEGR/
超优质,小Lin竖着说,3,11-28,"星巴克中国""卖身""，9.9的时代要来了吗？",https://www.bilibili.com/video/BV1HTSLBqE44/
超优质,小Lin竖着说,4,11-23,中美谈判桌上的新玩家，竟然是...?,https://www.bilibili.com/video/BV1TFUpBaExm/
超优质,小Lin竖着说,5,11-09,一边骂烂俗一边追更，短剧凭什么让各国人停不下来？,https://www.bilibili.com/video/BV1pD1mBXEhc/
超优质,小Lin竖着说,6,11-05,超市圈老大哥的商业秘密... (不是广告，放心看吧~),https://www.bilibili.com/video/BV1UL1WBbETX/
超优质,小Lin竖着说,7,10-31,今天来聊聊A股，最近为什么支棱起来了？,https://www.bilibili.com/video/BV1kc1uBkEtL/
超优质,小Lin竖着说,8,10-30,来了趟大东北，发现大米竟然还能...?,https://www.bilibili.com/video/BV139yhBXEyT/
超优质,小Lin竖着说,9,10-23,"关税""吵""得火热，实际影响是...?",https://www.bilibili.com/video/BV1ADsBzFE8q/
超优质,小Lin竖着说,10,09-30,中美AI芯片博弈啥情况？国产芯片到底能达到什么水平？,https://www.bilibili.com/video/BV1Ern2zeEqy/
超优质,罗永浩的十字路口,1,12-10,【正片】MiniMax 创始人闫俊杰×罗永浩！大山并非无法翻越,https://www.bilibili.com/video/BV11NmtBzE36/
超优质,罗永浩的十字路口,2,12-09,未来 AI 还需要人类吗？听听 MiniMax 创始人闫俊杰关于通用人工智能终极问题的看法,https://www.bilibili.com/video/BV1tj2rB1EiF/
超优质,罗永浩的十字路口,3,12-08,看来他能在人工智能领域做到世界顶尖是有原因的……一起看看 MiniMax 创始人闫俊杰是怎样让人震撼的天才,https://www.bilibili.com/video/BV18V2rBmEA2/
超优质,罗永浩的十字路口,4,12-08,AI 时代，产品经理还重要吗？听 MiniMax 创始人闫俊杰给我们这个行业把把脉。,https://www.bilibili.com/video/BV1GU2rB9EVU/
超优质,罗永浩的十字路口,5,12-02,“罗永浩的十字路口”之年度科技创新分享大会（2025）将于今年12月30日在上海召开。,https://www.bilibili.com/video/BV1ttSpBTEZo/
超优质,罗永浩的十字路口,6,11-28,【正片】导演毕赣×罗永浩！清醒、深刻、独一无二的造梦者,https://www.bilibili.com/video/BV1ECSuBUEqt/
超优质,罗永浩的十字路口,7,11-26,在这个极具电影感的场景中，侯孝贤对毕赣说了什么？11 月 27 日中午 12 点，听毕赣导演揭秘大师之间的对话。,https://www.bilibili.com/video/BV1XCUbBxEKU/
超优质,罗永浩的十字路口,8,11-26,这是一个令人动容的故事，讲述那些温暖的人如何因为电影而被联系在一起。11 月 27 日中午 12 点，听毕赣导演聊聊，为什么这是他录音师“最美好的回忆”。,https://www.bilibili.com/video/BV1UDUbBDEWS/
超优质,罗永浩的十字路口,9,11-26,访谈过程里，我一直在不厌其烦地啰嗦相似的话，但这都是发自内心的和下意识的。11 月 27 日中午 12 点，看完节目之后你会明白为什么毕赣导演让我如此激动。,https://www.bilibili.com/video/BV1tDUbBQEds/
超优质,罗永浩的十字路口,10,11-20,【正片】何同学×罗永浩！青年何同学的骄傲与烦恼,https://www.bilibili.com/video/BV1G7yGBvEqs/
超优质,稚晖君,1,10-28,【灵犀X2】有灵创学得就是快，当机器人开始跳机械舞～,https://www.bilibili.com/video/BV1QtyzBkEXZ/
超优质,稚晖君,2,10-24,【灵创平台】不用写代码，也能训练机器人？全球首个0代码创作平台来了！,https://www.bilibili.com/video/BV1dhsJzFESF/
超优质,稚晖君,3,09-28,【开发日记】灵犀现学现卖，又是被X2可爱到的一天～,https://www.bilibili.com/video/BV1ELnRzWEaW/
超优质,稚晖君,4,09-18,【灵犀X2】它快要学会人类的一切动作了...（好努力一机器人）,https://www.bilibili.com/video/BV1eMpizAEcg/
超优质,稚晖君,5,08-27,拆解未来，灵犀X2-W原型机渲染细节,https://www.bilibili.com/video/BV1u2e1zEEPf/
